id,category,section,question,honbun,choice1,choice2,choice3,choice4,answer
Q00022,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,契りおきし花のさかりを<告げ>ぬかな春やまだ来ぬ花や匂はぬ,ガ行下二段活用,ガ行四段活用,ガ行上一段活用,ガ行上二段活用,ガ行下二段活用
Q00016,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,冬深くなりたれば、川風けはしく吹き<上げ>つつ堪へがたくおぼえけり。,ガ行四段活用,ガ行下二段活用,ガ行上一段活用,ガ行上二段活用,ガ行下二段活用
Q00060,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,額をつきし薬師仏の立ちたまへるを、見捨てたてまつる悲しくて、人知れずうち<泣か>れぬ。,カ行上一段活用,カ行四段活用,カ行上二段活用,カ行下二段活用,カ行四段活用
Q00012,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,うち<おどろき>たれば、夢なりけり。,カ行上一段活用,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行四段活用
Q00005,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,弥生の朔日ごろに、西山の奥なる所に<行き>たる、人目も見えず、のどのどと霞みわたりたるに、,カ行上二段活用,カ行下二段活用,カ行上一段活用,カ行四段活用,カ行四段活用
Q00099,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,几帳おし出でたる下より色々の衣こぼれ出で、梅桜<咲き>たるに、鴬木伝ひ鳴きたるを見せて、『これを見るはうれしな』とのたまふとなむ見えし。,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行四段活用
Q00089,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,世の中に「長恨歌」といふ書を物語に<書き>てある所あんなりと聞くに,カ行上一段活用,カ行上二段活用,カ行四段活用,カ行下二段活用,カ行四段活用
Q00105,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いみじう風の<吹く>日、宇治の渡りをするに、網代いと近う漕ぎ寄りたり。,カ行四段活用,カ行下二段活用,カ行上二段活用,カ行上一段活用,カ行四段活用
Q00096,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,夜昼<嘆か>るるを聞く心地、花紅葉の思ひもみな忘れて悲しく、,カ行上二段活用,カ行上一段活用,カ行四段活用,カ行下二段活用,カ行四段活用
Q00080,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いと暗くなりて三条の宮の西なる所に<着き>ぬ。,カ行上二段活用,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行四段活用
Q00081,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,また<聞け>ば、侍従の大納言の御むすめ亡くなりたまひぬなり。,カ行下二段活用,カ行上一段活用,カ行上二段活用,カ行四段活用,カ行四段活用
Q00091,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「大納言殿の姫君」と呼びしかば、聞き知り顔に<鳴き>て歩み来などせしかば、,カ行上二段活用,カ行四段活用,カ行上一段活用,カ行下二段活用,カ行四段活用
Q00040,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,池の鳥どもの、夜もすがら声々羽ぶき<さわぐ>音のするに、目も覚めて、,ガ行上一段活用,ガ行四段活用,ガ行下二段活用,ガ行上二段活用,ガ行四段活用
Q00018,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,菊の濃く薄き八つばかりに、濃き掻練を上に<着>たり。,カ行四段活用,カ行上二段活用,カ行下二段活用,カ行上一段活用,カ行上一段活用
Q00043,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,などて、多くの年月を、いたづらにて臥し<起き>しに、おこなひをも物詣でをもせざりけむ。,カ行下二段活用,カ行四段活用,カ行上一段活用,カ行上二段活用,カ行上二段活用
Q00002,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,今宵宿らむも中間に、汐満ち<来>なば、ここをも過ぎじとあるかぎり走りまどひ過ぎぬ。,ナ行変格活用,サ行変格活用,ラ行変格活用,カ行変格活用,カ行変格活用
Q00092,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,袖をうちおほひて、いま一人をもかき<寄せ>て、思ふぞいみじきや。,サ行上二段活用,サ行下二段活用,サ行上一段活用,サ行四段活用,サ行下二段活用
Q00045,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,『言ひつること、いま一かへり、われに言ひて聞かせよ』と、<仰せ>られければ、,サ行上一段活用,サ行上二段活用,サ行下二段活用,サ行四段活用,サ行下二段活用
Q00017,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,親となりなば、いみじうやむごとなくわが身もなりなむなど、ただ行方なきことをうち思ひ<過ぐす>に、,サ行四段活用,サ行上二段活用,サ行上一段活用,サ行下二段活用,サ行四段活用
Q00056,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,十日ばかりありて、まかでたれば、父母、炭櫃に火など<おこし>て待ちゐたりけり。,サ行上二段活用,サ行上一段活用,サ行四段活用,サ行下二段活用,サ行四段活用
Q00030,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,御前たちも、かならずさ<おぼす>ゆゑはべらむかし。,サ行上一段活用,サ行下二段活用,サ行上二段活用,サ行四段活用,サ行四段活用
Q00019,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,三月といふに武蔵の国に行き着きて、この男を尋ぬるに、この皇女、おほやけ使ひを<召し>て、,サ行四段活用,サ行下二段活用,サ行上二段活用,サ行上一段活用,サ行四段活用
Q00008,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,前の世にその御寺に仏念じ<申し>けむ力に、おのづからようもやあらまし。,サ行四段活用,サ行上二段活用,サ行上一段活用,サ行下二段活用,サ行四段活用
Q00010,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,はしるはしるわづかに見つつ、心も得ず心もとなく思ふ源氏を、一の巻よりして、人もまじらず、几帳の内にうち<臥し>て、引き出でつつ見る心地、后の位も何にかはせむ。,サ行四段活用,サ行上二段活用,サ行上一段活用,サ行下二段活用,サ行四段活用
Q00025,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いといみじう侘しく恐ろしうて、夜を<明かす>ほど、千歳を過ぐす心地す。,サ行上一段活用,サ行四段活用,サ行下二段活用,サ行上二段活用,サ行四段活用
Q00027,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,侍従大納言の姫君の<おはする>な。,サ行変格活用,カ行変格活用,ラ行変格活用,ナ行変格活用,サ行変格活用
Q00061,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,庵なども浮きぬばかりに雨降りなど<すれ>ば、おそろしくて、寝も寝られず。,サ行変格活用,サ行下二段活用,サ行四段活用,サ行上二段活用,サ行変格活用
Q00062,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,人びとをかしがりて、歌よみなど<する>に、,サ行上二段活用,サ行四段活用,サ行変格活用,サ行下二段活用,サ行変格活用
Q00071,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,人びといみじうあはれがりて、けぢかくて、人びともて<興ずる>に、,サ行上二段活用,サ行四段活用,サ行下二段活用,サ行変格活用,サ行変格活用
Q00015,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,物詣でをわづかにしても、はかばかしく人のやうならむとも<念ぜ>られず。,ナ行変格活用,サ行変格活用,カ行変格活用,ラ行変格活用,サ行変格活用
Q00011,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,この物語、見<果て>むと思へど見えず。,タ行上二段活用,タ行上一段活用,タ行下二段活用,タ行四段活用,タ行下二段活用
Q00021,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,秋の夜は、おぼし<捨て>つるななりな。,タ行下二段活用,タ行上二段活用,タ行四段活用,タ行上一段活用,タ行下二段活用
Q00107,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,また初瀬に<詣づれ>ば、初めにこよなくもの頼もし。,ダ行下二段活用,ダ行上一段活用,ダ行上二段活用,ダ行四段活用,ダ行下二段活用
Q00001,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,昔越えしも冬ぞかしと思ひ<出で>らるるに、,ダ行上二段活用,ダ行四段活用,ダ行上一段活用,ダ行下二段活用,ダ行下二段活用
Q00073,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,えもいはず大きなる石の四方なる中に、穴のあきたる中より<出づる>水の清くつめたきことかぎりなし。,ダ行四段活用,ダ行下二段活用,ダ行上二段活用,ダ行上一段活用,ダ行下二段活用
Q00102,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,三日さぶらひて<まかで>ぬ。,ダ行上一段活用,ダ行下二段活用,ダ行上二段活用,ダ行四段活用,ダ行下二段活用
Q00098,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,物へ行くにもろともに来べき人<待つ>なるべし。,タ行上一段活用,タ行四段活用,タ行上二段活用,タ行下二段活用,タ行四段活用
Q00063,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,そのつとめて、そこを<立ち>て、下総の国と武蔵との境にてあるふとゐ河といふが上の瀬、松里のわたりの津に泊まりて、,タ行上二段活用,タ行上一段活用,タ行下二段活用,タ行四段活用,タ行四段活用
Q00051,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,富士川といふは、富士の山より<落ち>たる水なり。,タ行上一段活用,タ行下二段活用,タ行四段活用,タ行上二段活用,タ行上二段活用
Q00090,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,かやうに明くるまで眺めあかいて、夜明けてぞみな人<寝>ぬる。,ナ行四段活用,ナ行上二段活用,ナ行下二段活用,ナ行上一段活用,ナ行下二段活用
Q00087,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,<尋ぬる>人やあると、これを隠して飼ふに、,ナ行下二段活用,ナ行四段活用,ナ行上一段活用,ナ行上二段活用,ナ行下二段活用
Q00039,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,二十余日の暁方の月、いみじくあはれに山の方は小暗く、滝の音も<似る>ものなくのみ眺められて、,ナ行四段活用,ナ行上二段活用,ナ行上一段活用,ナ行下二段活用,ナ行上一段活用
Q00033,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,かかるほどのことは、<いらへ>ぬも便なしなどあれば、,ハ行上二段活用,ハ行上一段活用,ハ行四段活用,ハ行下二段活用,ハ行下二段活用
Q00046,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,雪の日を<経>て降るころ、吉野山に住む尼君を思ひやる。,ハ行上一段活用,ハ行下二段活用,ハ行上二段活用,ハ行四段活用,ハ行下二段活用
Q00057,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,にしとみといふ所の山、絵よく描きたらむ屏風を立て<並べ>たらむやうなり。,バ行下二段活用,バ行上二段活用,バ行上一段活用,バ行四段活用,バ行下二段活用
Q00050,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,四月晦方、さるべきゆゑありて、東山なる所へ<移ろふ>。,ハ行下二段活用,ハ行上二段活用,ハ行四段活用,ハ行上一段活用,ハ行四段活用
Q00023,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「難波わたりに比ぶれば」とめでたく<歌ひ>たり。,ハ行下二段活用,ハ行上一段活用,ハ行四段活用,ハ行上二段活用,ハ行四段活用
Q00058,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,世の中に物語と<いふ>もののあんなるを、いかで見ばやとおもひつつ、,ハ行四段活用,ハ行上二段活用,ハ行下二段活用,ハ行上一段活用,ハ行四段活用
Q00064,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いと恋しければ、行かまほしく<おもふ>に、兄なる人抱きて率て行きたり。,ハ行上一段活用,ハ行下二段活用,ハ行四段活用,ハ行上二段活用,ハ行四段活用
Q00084,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,人にも語らず、<習は>むとも思ひかけず。,ハ行上一段活用,ハ行四段活用,ハ行下二段活用,ハ行上二段活用,ハ行四段活用
Q00053,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「あれは物詣で人なめりな。月日しもこそ世に多かれ」と<笑ふ>中に、いかなる心ある人にか、,ハ行四段活用,ハ行上二段活用,ハ行下二段活用,ハ行上一段活用,ハ行四段活用
Q00041,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「そこは内裏にこそあらむとすれ。博士の命婦をこそよく語らはめ」と<のたまふ>と思ひて、,ハ行上一段活用,ハ行下二段活用,ハ行上二段活用,ハ行四段活用,ハ行四段活用
Q00066,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,はるかにははさうなどいふ所の廊の跡の礎などあり。いかなる所ぞと<問へ>ば、,ハ行上二段活用,ハ行上一段活用,ハ行四段活用,ハ行下二段活用,ハ行四段活用
Q00024,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,<呼び>わづらひて、笛をいとをかしく吹きすまして、過ぎぬなり。,バ行下二段活用,バ行上二段活用,バ行上一段活用,バ行四段活用,バ行四段活用
Q00047,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,武蔵の国の衛士の男なむ、いと香ばしき物を首にひきかけて、<飛ぶ>やうに逃げける,バ行四段活用,バ行上二段活用,バ行下二段活用,バ行上一段活用,バ行四段活用
Q00072,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,葵のただ三筋ばかりあるを、世ばなれてかかる山中にしも<生ひ>けむよと、人びとあはれがる。,ハ行四段活用,ハ行下二段活用,ハ行上二段活用,ハ行上一段活用,ハ行上二段活用
Q00052,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,今はいかで、この若き人びと<大人び>させむと思ふよりほかの事なきに、,バ行下二段活用,バ行上二段活用,バ行四段活用,バ行上一段活用,バ行上二段活用
Q00037,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,心も<慰め>むと、心くるしがりて、母、物語など求めて見せたまふに、げにおのづから慰みゆく。,マ行上一段活用,マ行四段活用,マ行上二段活用,マ行下二段活用,マ行下二段活用
Q00029,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,月のころ、竹のもと近くて風の音に目のみ<覚め>て、うちとけて寝られぬころ、,マ行上一段活用,マ行四段活用,マ行下二段活用,マ行上二段活用,マ行下二段活用
Q00082,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,母、物語など<求め>て見せたまふに、げにおのづから慰みゆく。,マ行上一段活用,マ行下二段活用,マ行四段活用,マ行上二段活用,マ行下二段活用
Q00006,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,姉なる人、空をつくづくと<眺め>て、,マ行上二段活用,マ行上一段活用,マ行下二段活用,マ行四段活用,マ行下二段活用
Q00032,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,「硯の水の凍れば、みな閉ぢられて<とどめ>つ」と言ひたるに、,マ行上一段活用,マ行四段活用,マ行下二段活用,マ行上二段活用,マ行下二段活用
Q00101,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,いといふかひなく、詣で仕うまつることもなくて<やみ>にき。,マ行四段活用,マ行上一段活用,マ行下二段活用,マ行上二段活用,マ行四段活用
Q00086,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,五月ばかり、夜更くるまて物語を<読み>て起きゐたれば、,マ行上一段活用,マ行上二段活用,マ行四段活用,マ行下二段活用,マ行四段活用
Q00065,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,紅の上に着てうち<悩み>て臥したる月影、,マ行上一段活用,マ行上二段活用,マ行下二段活用,マ行四段活用,マ行四段活用
Q00083,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,心も得ず心もとなく思ふ源氏を、一の巻よりして、人もまじらず、几帳の内にうち臥して、引き出でつつ<見る>心地、后の位も何にかはせむ。,マ行上一段活用,マ行下二段活用,マ行上二段活用,マ行四段活用,マ行上一段活用
Q00079,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,不破の関、あつみの山など<越え>て、近江の国おきながといふ人の家に宿りて、四五日あり。,ヤ行四段活用,ヤ行上二段活用,ヤ行上一段活用,ヤ行下二段活用,ヤ行下二段活用
Q00077,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,さやの中山など越えけむほども<おぼえ>ず。,ヤ行四段活用,ヤ行上一段活用,ヤ行上二段活用,ヤ行下二段活用,ヤ行下二段活用
Q00074,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,富士の山はこの国なり。我が生ひ出でし国にては、西面に<見え>し山なり。,ヤ行上二段活用,ヤ行下二段活用,ヤ行四段活用,ヤ行上一段活用,ヤ行下二段活用
Q00054,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,白山の雪の下なるさざれ石の中の思ひは<消え>むものかは,ヤ行四段活用,ヤ行下二段活用,ヤ行上二段活用,ヤ行上一段活用,ヤ行下二段活用
Q00013,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,さすがに命は憂きにも<絶え>ず長らふめれど、後の世も思ふにかなはずぞあらむかしとぞ、うしろめたきに、頼むこと一つぞありける。,ヤ行四段活用,ヤ行上一段活用,ヤ行上二段活用,ヤ行下二段活用,ヤ行下二段活用
Q00055,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,見しままに<燃え>し煙は尽きにしをいかが尋ねし野辺の笹原,ヤ行上一段活用,ヤ行下二段活用,ヤ行四段活用,ヤ行上二段活用,ヤ行下二段活用
Q00009,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,又の日もいみじく雪降り荒れて、宮に語らひ<聞こゆる>人の具したまへると、物語りして心細さを慰む。,ヤ行四段活用,ヤ行上二段活用,ヤ行下二段活用,ヤ行上一段活用,ヤ行下二段活用
Q00035,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,広々と<荒れ>たる所の、過ぎ来つる山々にも劣らず、大きにおそろしげなる深山木どものやうにて、都の内とも見えぬ所のさまなり。,ラ行四段活用,ラ行上二段活用,ラ行変格活用,ラ行下二段活用,ラ行下二段活用
Q00048,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,道顕証ならぬ先にと、夜深う出でしかば立ち<遅れ>たる人びとも待ち、,ラ行上二段活用,ラ行下二段活用,ラ行四段活用,ラ行変格活用,ラ行下二段活用
Q00020,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,たたくとも誰れか水鶏の<暮れ>ぬるに山路を深く尋ねては来む,ラ行変格活用,ラ行上二段活用,ラ行四段活用,ラ行下二段活用,ラ行下二段活用
Q00042,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,ねむごろに語らふ人の、かうて後<訪れ>ぬに、,ラ行四段活用,ラ行下二段活用,ラ行変格活用,ラ行上二段活用,ラ行下二段活用
Q00038,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,乳母なる人は男などもなくなして、境にて子産みたりしかば、<離れ>て別に上る。,ラ行下二段活用,ラ行変格活用,ラ行上二段活用,ラ行四段活用,ラ行下二段活用
Q00075,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,白き水はやく<流れ>たり。,ラ行下二段活用,ラ行上一段活用,ラ行四段活用,ラ行上二段活用,ラ行下二段活用
Q00103,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,そこら桟敷どもに<移る>とて、行き違ふ馬も車も徒歩人も、「あれはなぞ、あれはなぞ」と、安からず言ひ驚き、あさみ笑ひ、あざける者どももあり。,ラ行四段活用,ラ行下二段活用,ラ行上二段活用,ラ行上一段活用,ラ行四段活用
Q00110,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,さるべきやうありて、秋ごろ和泉に<下る>に、,ラ行上二段活用,ラ行下二段活用,ラ行四段活用,ラ行上一段活用,ラ行四段活用
Q00076,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,その国の人の出でて<語る>やう、,ラ行下二段活用,ラ行上一段活用,ラ行四段活用,ラ行上二段活用,ラ行四段活用
Q00100,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,この御堂の東におはする丈六の仏は、そこの<造り>たりしなり。,ラ行下二段活用,ラ行上一段活用,ラ行上二段活用,ラ行四段活用,ラ行四段活用
Q00085,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,三月つごもりがた、土忌みに人のもとに渡りたるに、桜盛りにおもしろく、今まで<散ら>ぬもあり。,ラ行下二段活用,ラ行上一段活用,ラ行上二段活用,ラ行四段活用,ラ行四段活用
Q00028,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,夜深く出でしかば、人びと困じて野路地といふ所に<留まり>て、,ラ行上二段活用,ラ行四段活用,ラ行変格活用,ラ行下二段活用,ラ行四段活用
Q00104,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,舟の舵<とり>たる男ども、舟を待つ人の数も知らぬに心おごりしたるけしきにて、,ラ行上二段活用,ラ行下二段活用,ラ行四段活用,ラ行上一段活用,ラ行四段活用
Q00007,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,あづまに下りし親、からうじて<上り>て、西山なる所に落ち着きたれば、,ラ行下二段活用,ラ行四段活用,ラ行上二段活用,ラ行変格活用,ラ行四段活用
Q00044,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,冬になりて上るに、大津といふ浦に舟に<乗り>たるに、,ラ行下二段活用,ラ行変格活用,ラ行上二段活用,ラ行四段活用,ラ行四段活用
Q00004,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,昔の人の、必ず求めておこせよ、とありしかば求めしに、その折はえ見出でず<なり>にしを、,ラ行上二段活用,ラ行四段活用,ラ行変格活用,ラ行下二段活用,ラ行四段活用
Q00088,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,侍従大納言の姫君のおはするな。大納言殿に<知ら>せたてまつらばや。,ラ行四段活用,ラ行上一段活用,ラ行上二段活用,ラ行下二段活用,ラ行四段活用
Q00097,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,見むもなかなかなべければ、内にも<入ら>ず。,ラ行上一段活用,ラ行上二段活用,ラ行四段活用,ラ行下二段活用,ラ行四段活用
Q00068,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,はや<帰り>て朝廷に、このよしを奏せよ,ラ行上二段活用,ラ行四段活用,ラ行下二段活用,ラ行上一段活用,ラ行四段活用
Q00014,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,松里のわたりの月影あはれに見し乳母も、三月一日に<亡くなり>ぬ。,ラ行上二段活用,ラ行四段活用,ラ行変格活用,ラ行下二段活用,ラ行四段活用
Q00095,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,十月晦方にあからさまに来て見れば、小暗う<茂れ>りし木の葉ども残りなく散り乱れて、,ラ行上二段活用,ラ行下二段活用,ラ行上一段活用,ラ行四段活用,ラ行四段活用
Q00106,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,また石山に<籠もり>たれば、夜もすがら雨ぞいみじく降る。,ラ行下二段活用,ラ行上二段活用,ラ行上一段活用,ラ行四段活用,ラ行四段活用
Q00026,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,唐土などにも、昔より春秋の定めは、えし<はべら>ざなるを、,ラ行変格活用,ラ行四段活用,ラ行下二段活用,ラ行上一段活用,ラ行変格活用
Q00059,動詞,動詞①,傍線部の語の活用の種類として正しいものを選べ。,京にとくあげたまひて、物語のおほくはべるなる、<ある>かぎり見せたまへ,ラ行下二段活用,ラ行四段活用,ラ行変格活用,ラ行上一段活用,ラ行変格活用
